epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.293,1.35422,3.28517,1.01852,0.00333,1,0.01139,0.00731,0.92284,3.80154,0.87521,0.00042,0.00042,0.00042
2,84.6147,1.07717,1.54645,0.92401,0.00322,0.96591,0.00732,0.0048,1.00006,3.87677,0.92541,0.000842972,0.000842972,0.000842972
3,128.913,0.99555,1.32018,0.92152,0.00333,1,0.01034,0.00788,0.82546,3.28903,0.88553,0.00124852,0.00124852,0.00124852
4,169.767,0.9694,1.15343,0.92119,0.97726,0.48834,0.97849,0.70196,0.97048,2.26087,0.95344,0.00163664,0.00163664,0.00163664
5,209.713,0.97701,1.06052,0.92378,0.91124,0.97727,0.98146,0.73712,0.94629,1.31027,0.97517,0.0018416,0.0018416,0.0018416
6,250.118,0.89777,1.03901,0.91077,0.97772,0.99758,0.99174,0.75192,0.87421,1.14857,0.91456,0.001802,0.001802,0.001802
7,290.787,0.87041,0.93197,0.9058,0.97774,0.9985,0.9837,0.78192,0.80953,1.27851,0.9053,0.0017624,0.0017624,0.0017624
8,331.009,0.86243,0.81495,0.8922,0.97603,1,0.99029,0.81179,0.72917,0.70637,0.86454,0.0017228,0.0017228,0.0017228
9,371.824,0.87455,0.773,0.89602,0.97747,1,0.99174,0.83007,0.69965,0.68039,0.86116,0.0016832,0.0016832,0.0016832
10,414.006,0.84051,0.70369,0.88417,0.9746,1,0.9893,0.80322,0.71339,0.61947,0.85934,0.0016436,0.0016436,0.0016436
11,454.635,0.77499,0.64211,0.8818,0.97778,0.99999,0.98522,0.78607,0.74231,0.64848,0.87151,0.001604,0.001604,0.001604
12,494.626,0.80088,0.61671,0.86398,0.97769,0.99599,0.98788,0.82996,0.68204,0.56233,0.85044,0.0015644,0.0015644,0.0015644
13,534.89,0.77992,0.5919,0.8712,0.96579,1,0.99143,0.8353,0.68517,0.53487,0.85008,0.0015248,0.0015248,0.0015248
14,575.211,0.78613,0.56447,0.87507,0.97643,1,0.99215,0.82609,0.68758,0.53931,0.85264,0.0014852,0.0014852,0.0014852
